id,championship_id,circuit_id,name,round_number,season,start_date,end_date,is_confirmed,is_cancelled,metadata,created_at,updated_at
6a61179c-baab-4f84-b6bd-266fc216cdbf,0d273401-4838-43fc-a908-cd5087ec6430,50f296e1-676a-482a-8db1-4239fc1bd826,Australian GP,19,2026,2026-10-23,2026-10-25,true,false,{},2025-12-26 18:47:32.525653+00,2025-12-26 18:47:32.525653+00
6b5e99c9-ebe9-4009-8b68-5422153735b3,50c0f5ce-fd98-480e-bef6-4f98b8af9846,019a4db2-2f32-41da-9c4e-444a3e400c6f,Shanghai E-Prix,12,2026,2026-07-04,2026-07-05,true,false,{},2025-12-26 18:47:24.565763+00,2026-01-05 10:02:24.373848+00
6ca3d81d-b6cc-4c75-9ab2-958fc47c8807,50c0f5ce-fd98-480e-bef6-4f98b8af9846,bb286083-ccbb-4a21-a15b-6bc5227821b6,Sanya E-Prix,11,2026,2026-06-20,2026-06-20,true,false,{},2025-12-26 18:47:24.295191+00,2025-12-26 18:47:24.295191+00
6dc7ddff-6cfa-41ae-bc9c-ade883adce5f,2d114ce9-fade-42d1-bc31-1da74faacf26,817d5eb6-2a81-46fe-ae39-ab4e2736c24f,Hockenheimring,8,2026,2026-10-09,2026-10-11,true,false,{},2026-02-08 18:10:43.240733+00,2026-02-08 18:10:43.240733+00
6ef2a0b3-13b0-4305-8d69-43008630c8a7,59d39d6c-f8a5-4096-9044-54268ef8b1ea,0a087e29-7c82-42cf-80e2-05fac82a62eb,Monza,3,2026,2026-05-29,2026-05-31,true,false,{},2026-01-05 09:43:47.291758+00,2026-01-05 09:56:54.427103+00
7016cedf-8ee2-49b8-a92b-c9585f1bfe2d,d36e796d-42be-46c4-bd15-1beb5f08dde9,8f393b68-bf5a-45a4-abfa-09fd7203ebc5,Milwaukee Mile Race 1,16,2026,2026-08-28,2026-08-29,true,false,{},2026-02-08 20:51:46.546186+00,2026-02-08 20:57:53.07296+00
70ea23bf-2d7d-4181-b68a-ea44e648cc28,e6b50f04-9ffe-479b-bf96-89560b99131b,ca570fe1-9d75-449f-b0ac-8580fdbd8ef4,Singapore Grand Prix,18,2026,2026-10-09,2026-10-11,true,false,"{""has_sprint"":true}",2025-12-26 16:23:58.215278+00,2025-12-26 16:34:28.329778+00
7166deef-0000-4e0c-a6e7-e173617cbe18,4510b607-ecca-4c02-875b-ae25ab2a9784,218a3ee4-a240-4e54-a965-6bd4aa65fcdf,Freeway Insurance 500,35,2026,2026-10-16,2026-10-18,true,false,"{""is_non_points"":false}",2025-12-26 18:33:41.686396+00,2026-02-14 12:29:00.611766+00
71d9a6c2-dffb-4e7e-9775-8ca9c924a99b,4510b607-ecca-4c02-875b-ae25ab2a9784,acee0d6e-0eb5-42c9-8aec-f2924786a539,South Point 400,33,2026,2026-10-02,2026-10-04,true,false,"{""is_non_points"":false}",2025-12-26 18:33:40.573498+00,2025-12-26 18:33:40.573498+00
742020d1-92d5-4f7d-ab20-07f7d9b4f8d6,4510b607-ecca-4c02-875b-ae25ab2a9784,e2931f9b-016c-4adb-af40-6db48378c5c1,Daytona 500,2,2026,2026-02-12,2026-02-15,true,false,"{""is_non_points"":false}",2025-12-26 18:33:31.132453+00,2025-12-26 18:33:31.132453+00
745e9d87-6741-4f9f-9619-67d6403e5044,4510b607-ecca-4c02-875b-ae25ab2a9784,13c3269c-f6e2-44fa-b098-a502c7064920,Brickyard 400,24,2026,2026-07-24,2026-07-26,true,false,"{""is_non_points"":false}",2025-12-26 18:33:37.794683+00,2025-12-26 18:33:37.794683+00
